date,variant,payments,revenue
2026-07-20,얼굴,1,20000
2026-07-22,얼굴,2,40000
2026-07-22,좋은분,1,20000
2026-07-26,상세형,1,20000
2026-07-26,얼굴,1,20000
2026-07-27,상세형,1,20000
2026-07-30,상세형,1,20000
2026-07-31,얼굴,1,20000
2026-08-01,상세형,1,20000
2026-08-01,얼굴,1,20000
2026-08-03,얼굴,1,20000
2026-08-04,얼굴,2,40000
2026-08-06,상세형,1,20000
2026-08-07,얼굴,1,20000
2026-08-08,얼굴,1,20000
2026-08-09,상세형,1,20000
2026-08-09,얼굴,1,20000
2026-08-10,얼굴,1,20000
2026-08-12,얼굴,2,40000
2026-08-13,얼굴,2,40000
2026-08-14,상세형,1,20000
2026-08-17,얼굴,1,20000
2026-08-18,상세형,1,20000
2026-08-18,얼굴,1,20000
2026-08-19,상세형,1,20000
2026-08-19,얼굴,1,20000
2026-08-20,상세형,1,20000
2026-08-20,얼굴,2,40000
2026-08-21,상세형,1,20000
2026-08-23,얼굴,1,20000
2026-08-24,상세형,2,40000
2026-08-26,상세형,1,20000
2026-08-27,상세형,1,20000
2026-08-28,상세형,1,20000
2026-08-29,상세형,2,40000
2026-08-30,얼굴,1,20000
2026-08-31,상세형,1,20000
2026-09-01,상세형,2,40000
