date,landing_id,count,memo
2026-06-23,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-06-23,find-me,0,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-06-24,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-06-24,find-me,2,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-06-25,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-06-25,find-me,0,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-06-26,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-06-26,find-me,0,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-06-27,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-06-27,find-me,0,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-06-28,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-06-28,find-me,0,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-06-29,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-06-29,find-me,0,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-06-30,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-06-30,find-me,0,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-07-01,impact-me,1,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-07-01,find-me,1,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-07-02,impact-me,1,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-07-02,find-me,1,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-07-03,impact-me,2,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-07-03,find-me,0,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-07-04,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-07-04,find-me,0,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-07-05,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-07-05,find-me,1,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-07-06,impact-me,1,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-07-06,find-me,1,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-07-07,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-07-07,find-me,0,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-07-08,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-07-08,find-me,1,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-07-09,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-07-09,find-me,0,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-07-10,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-07-10,find-me,0,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-07-11,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-07-11,find-me,0,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-07-12,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-07-12,find-me,0,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-07-13,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-07-13,find-me,1,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-07-14,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-07-14,find-me,0,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-07-15,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-07-15,find-me,0,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-07-15,discount-me,0,구글시트 Daily탭 K열(할인 예약 DB) 기준
2026-07-16,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-07-16,find-me,0,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-07-16,discount-me,0,구글시트 Daily탭 K열(할인 예약 DB) 기준
2026-07-17,impact-me,0,구글시트 Daily탭 I열(진단 예약 DB) 기준
2026-07-17,find-me,0,구글시트 Daily탭 J열(예약 예약 DB) 기준
2026-07-17,discount-me,0,구글시트 Daily탭 K열(할인 예약 DB) 기준
2026-07-18,discount-me,0,구글시트 일일기록 탭 기준
2026-07-19,discount-me,0,구글시트 일일기록 탭 기준
